SITE_ID,RAN_SW_VENDOR,CUSTOM_K8_ID_CUS,CUSTOM_GNODEB_NAME,CUSTOM_GNODEB_SITE_NUMBER,CUSTOM_K8_ID_DUS
LALAX04138C,Samsung,nan,,,
LALAX04138D,Samsung,nan,LALAX731022,10,3
LALAX04139E,Samsung,nan,LALAX731009,9,10
LALAX04140B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731010,10,2
LALAX04141B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,,,10
LALAX04141C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,7,3
LALAX04143C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731007,7,2
LALAX04144A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731006,5,2
LALAX04145A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731006,6,2
LALAX04146A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731006,7,1
LALAX04147B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731006,8,3
LALAX04148A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731006,9,2
LALAX04149D,Samsung,nan,LALAX731020,6,1
LALAX04150B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,8,6
LALAX04151A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,14,4
LALAX04152B,Samsung,nan,LALAX731007,8,3
LALAX04153A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,15,5
LALAX04154A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731010,11,1
LALAX04155A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731006,10,4
LALAX04156A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731013,6,11
LALAX04157A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731006,11,4
LALAX04158A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731011,9,7
LALAX04159A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,16,7
LALAX04160C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731014,8,7
LALAX04161A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731011,10,3
LALAX04162A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,17,1
LALAX04163C,Samsung,nan,LALAX731011,11,11
LALAX04164A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731014,9,10
LALAX04165B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731014,10,4
LALAX04166A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731011,12,4
LALAX04167A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731016,7,1
LALAX04168A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731011,13,8
LALAX04169A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731011,14,9
LALAX04170B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,11,3
LALAX04171B,Samsung,nan,LALAX731014,11,2
LALAX04172B,Samsung,nan,LALAX731012,7,4
LALAX04174A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,18,5
LALAX04175B,Samsung,nan,LALAX731019,9,10
LALAX04176B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731020,7,11
LALAX04177A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,10,10
LALAX04178A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,11,10
LALAX04179A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,8,9
LALAX04180B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,9,6
LALAX04181A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,13,3
LALAX04182A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,19,8
LALAX04183B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,12,1
LALAX04184B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,12,11
LALAX04185A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,10,10
LALAX04186A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,11,9
LALAX04187A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,13,11
LALAX04188A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,14,10
LALAX04189B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,14,7
LALAX04190A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,15,7
LALAX04191C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,,,
LALAX04191D,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,12,2
LALAX04192A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-04,LALAX741021,36,7
LALAX04193C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,13,9
LALAX04194A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731020,8,6
LALAX04195A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,13,9
LALAX04196A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731020,9,10
LALAX04197B,Samsung,nan,LALAX731017,20,2
LALAX04198B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,15,1
LALAX04199A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731018,10,7
LALAX04200A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731008,6,6
LALAX04201B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,,,
LALAX04201C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731008,7,1
LALAX04202A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731012,8,3
LALAX04203C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731009,10,9
LALAX04204A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731009,11,8
